stopID,entry/update time,stopTime,stopDuration,stopInResponseToCFS,street,intersection,PID,perceivedRace,perceivedDisability,perceivedLimitedEnglish,perceivedAge,perceivedGender,perceivedLgbt,genderNonconforming,contrabandOrEvidenceDiscovered,actionTakens,personSearchGiven,propertySearchGiven,basisForSearch,basisForSearchExplanation,reasonForStop,reasonForStopDetail,reasonForStopExplanation,reaultOfStop
55,2/1/2021 10:40,2/1/2021 10:39,10,FALSE,Foothill Expressway ,El Monte Ave,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 62 in 45, Citation for infraction
56,2/1/2021 10:54,2/1/2021 10:52,5,FALSE,San Antonio ,,1, Hispanic/Latino/a, None,TRUE,25,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Brake lights now working, Warning (verbal or written)
57,2/1/2021 17:27,2/1/2021 17:26,15,FALSE,foothill exp,w edith ave,1, Hispanic/Latino/a, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, vehicle had tinted windows, Warning (verbal or written)
58,2/1/2021 19:21,2/1/2021 18:52,10,FALSE,Plaza Central,Second,1, White, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, vehicle registration expired in 11/20, Citation for infraction
59,2/1/2021 19:27,2/1/2021 19:24,6,FALSE,SAN ANTONIO  RD,EL CAMINO REAL,1, White, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, LICENSE PLATE LIGHT OUT, Warning (verbal or written)
60,2/1/2021 20:18,2/1/2021 20:16,5,FALSE,FREMONT AVE,CAMPBELL AVE,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, HEADLIGHT OUT, Warning (verbal or written)
61,2/2/2021 9:07,2/2/2021 8:51,12,FALSE,Berry ave,,1, Hispanic/Latino/a, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Ran stop sign @ Miramonte/Covington, Citation for infraction
62,2/2/2021 10:29,2/2/2021 10:27,10,FALSE,Evemarie Ave,Christina Drive,1, Hispanic/Latino/a, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation"," expired reg, suspended reg, no front plate", Warning (verbal or written)
63,2/2/2021 10:39,2/2/2021 10:27,10,FALSE,Jordan ave,,1, Hispanic/Latino/a, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 50mph in a 35... wet/rainy conditions, Citation for infraction
64,2/2/2021 10:59,2/2/2021 10:45,8,FALSE,Los Altos avenue ,,1, Asian, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 41mph in 25 zone.  Wet roadway, Citation for infraction
65,2/2/2021 11:44,2/2/2021 11:42,3,FALSE,Los Altos avenue,Mt. Hamilton ,1, White, None,FALSE,65,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Passed vehicle on left, Warning (verbal or written)
66,2/2/2021 11:46,2/2/2021 11:34,10,FALSE,E. Portola Ave,,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 55mph in 35... wet/rainy, Citation for infraction
67,2/2/2021 12:03,2/2/2021 11:49,10,FALSE,Los Altos Avenue ,,1, Middle Eastern or South Asian, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 48mph in 25mph zone, Citation for infraction
68,2/2/2021 12:13,2/2/2021 10:29,5,FALSE,Fremont Ave,Belleville Way,1, Hispanic/Latino/a, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, vehicle had a non working brake light and tinted windows, Warning (verbal or written)
69,2/2/2021 13:26,2/2/2021 13:12,8,FALSE,Los Altos Avenue ,,1, White, None,FALSE,55,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 43mph in 25mph zone, Citation for infraction
70,2/2/2021 13:54,2/2/2021 13:40,8,FALSE,Los Altos Avenue ,,1, White, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 42mph in 25mph zone, Citation for infraction
71,2/2/2021 14:43,2/2/2021 14:32,10,FALSE,Fremont Ave,Grand Rd,1, White, None,FALSE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 48mph in a 30... wet roads, Citation for infraction
72,2/2/2021 15:09,2/2/2021 15:08,5,FALSE,Foothill Expressway,San Antonio Road,1, Hispanic/Latino/a; Native American; White, None,FALSE,55,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, cellphone, Warning (verbal or written)
73,2/2/2021 15:10,2/2/2021 14:45,10,FALSE,San Antonio Rd,,1, White, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed violation. Issued traffic cite for no u-turn. Coop, No Action
74,2/2/2021 15:29,2/2/2021 15:24,5,FALSE,El monte,S clark,1, White, None,FALSE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Speed 45 in 25mph zone, Citation for infraction
75,2/3/2021 7:31,2/3/2021 7:27,1,FALSE,foothill,MAGDALENA,1, White, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, SPEEDING, No Action
76,2/3/2021 15:07,2/3/2021 2:48,10,FALSE,Cuesta ,,1, Asian, None,TRUE,55,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Did not stop at stop sign, Citation for infraction
77,2/3/2021 15:44,2/3/2021 14:45,10,FALSE,Cuesta ,,1, Asian, None,FALSE,30,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Did not stop at stop sign, Citation for infraction
78,2/4/2021 10:10,2/4/2021 10:06,5,FALSE,Cuesta ,,1, Asian, None,FALSE,60,Male,Yes,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Did not stop for posted stop sign, Citation for infraction
79,2/4/2021 15:31,2/4/2021 15:27,7,FALSE,El Monte ave,Summerhill,1, White, None,FALSE,40,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Cell phone being held in hand and looking down, No Action
80,2/4/2021 15:36,2/4/2021 15:20,8,FALSE,El Monte,Bay Tree,1, White, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, No front plate 47mph in 30mph, Citation for infraction
81,2/4/2021 21:36,2/4/2021 21:33,1,FALSE,Foothill Expressway,Springer Rd,1, Middle Eastern or South Asian, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Light a off, No Action
82,2/5/2021 11:44,2/5/2021 11:10,13,FALSE,San Antonio Rd,,1, White, None,FALSE,30,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed P1 NB San Antonio Rd. Confirmed with Lidar reading of 52mph @ 362’ in 35 mph zone. Identified by CA license. Cite issued., Citation for infraction
83,2/5/2021 11:48,2/5/2021 11:45,5,FALSE,Almond Ave,N Clark,1, Asian, None,FALSE,25,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 40 in 25mph zone, No Action
84,2/5/2021 13:06,2/5/2021 13:04,5,FALSE,rengstorff ave,stanford ave,1, White, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", reg expired and suspended, Warning (verbal or written)
85,2/5/2021 15:38,2/5/2021 13:13,25,FALSE,Grant Road,Arboretum Road,1, Hispanic/Latino/a, None,FALSE,35,Male,No,FALSE, None, Asked for consent to search person; Asked for consent to search property; Person removed from vehicle by order, true,,, , Traffic Violation," Non-moving Violation, including Registration Violation", no license plates, Custodial Arrest pursuant to outstanding warrant; In-field cite and release
86,2/5/2021 23:10,2/5/2021 19:14,3,FALSE,Pine,San Antonio Rd,1, Asian, None,FALSE,55,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, stopped for violation...warning given, Warning (verbal or written)
87,2/5/2021 23:25,2/5/2021 23:23,5,FALSE,Foothill Exp,HWY 280,1, White, None,TRUE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, stopped for violation...given warning, Warning (verbal or written)
88,2/5/2021 23:28,2/5/2021 23:03,5,FALSE,Georgia ,Arrastradero ,1, White, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, No license plate lamps illuminated at night, Warning (verbal or written)
89,2/6/2021 18:49,2/6/2021 18:32,7,FALSE,Foothill,El Monte,1, Asian, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Drive without lights at darkness, Warning (verbal or written)
90,2/6/2021 19:08,2/6/2021 19:06,5,FALSE,Foothill Exp,St. Joseph,1, Hispanic/Latino/a, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 60 mph in 45 mph zone...driver warned and released, Warning (verbal or written)
91,2/6/2021 23:40,2/6/2021 23:37,10,FALSE,El Monte,280,1, Hispanic/Latino/a, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, expired registration, Warning (verbal or written)
92,2/7/2021 17:54,2/7/2021 14:25,24,TRUE,almond ave,,1, Hispanic/Latino/a, None,FALSE,45,Male,No,FALSE, None, Search of person was conducted; Search of property was conducted,,, Condition of parole / probation/ PRCS / mandatory supervision, , Consensual Encounter resulting in a search, , person was reported for being on campus request welfare check - subject id'd and on probation - search conducted, Field interview card completed
93,2/7/2021 20:16,2/7/2021 18:14,10,FALSE,Main,San Antonio,1, Middle Eastern or South Asian, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Right turn from wrong lane, Warning (verbal or written)
94,2/7/2021 21:10,2/7/2021 20:16,7,FALSE,San Antonio,Lyell,1, White, None,FALSE,40,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Drive without lights at darkness, Warning (verbal or written)
95,2/7/2021 21:43,2/7/2021 20:21,5,FALSE,Foothill Expressway,El Monte,1, White, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 70 mph in a 45 mph...driver warned, Warning (verbal or written)
96,2/7/2021 23:04,2/7/2021 21:10,10,FALSE,El Monte,Hawthorne,1, Hispanic/Latino/a, None,FALSE,28,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation," Unsafe speed, over posted speed limit", Warning (verbal or written)
97,2/8/2021 0:50,2/7/2021 23:05,9,FALSE,San Antonio,California,1, Hispanic/Latino/a, None,FALSE,30,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, drive without headlamps, Warning (verbal or written)
98,2/8/2021 11:54,2/8/2021 11:42,8,FALSE,Los Altos Avenue ,,1, Asian, None,FALSE,70,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 40mph in 25mph zone, Citation for infraction
99,2/8/2021 12:28,2/8/2021 12:18,10,FALSE,1st street,,1, White, None,FALSE,65,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 41mph in 25 zone, Citation for infraction
100,2/8/2021 13:50,2/8/2021 13:40,9,FALSE,Fremont Avenue ,Truman Avenue ,1, Asian, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Hold / operate cell phone while driving motor vehicle, Citation for infraction
101,2/8/2021 14:05,2/8/2021 14:03,5,FALSE,Truman,,1, White, None,FALSE,55,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 37mph in 25mph zone, Warning (verbal or written)
102,2/8/2021 14:55,2/8/2021 14:45,8,FALSE,Casita way ,,1, Asian, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Did not stop at stop sign, Citation for infraction
103,2/9/2021 10:51,2/9/2021 10:49,3,FALSE,Cuesta,,1, White, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, California stop stop sign in citizen complaint area, Warning (verbal or written)
104,2/9/2021 11:49,2/9/2021 11:46,7,FALSE,Foothill exp,Springer,1, White, None,FALSE,75,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Cut a vehicle off while turning in wrong lane, No Action
105,2/9/2021 14:14,2/9/2021 14:00,10,FALSE,St. Joseph,Deodara ,1, Hispanic/Latino/a, None,FALSE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Right turn on red.  No right on red sign posted, Citation for infraction
106,2/9/2021 14:50,2/9/2021 13:42,10,FALSE,Truman,Havenhurst,1, Asian, None,FALSE,30,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Speed on truman, Citation for infraction
107,2/9/2021 15:09,2/9/2021 14:50,8,FALSE,Foothill Expwy,Edith Ave,1, White, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 66mph in a 45, Citation for infraction
108,2/9/2021 15:54,2/9/2021 15:45,8,FALSE,State st,4th st,1, Middle Eastern or South Asian, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, “No right turn on red” violation, Citation for infraction
109,2/10/2021 8:44,2/10/2021 8:30,8,FALSE,Los Altos Avenue ,,1, White, None,FALSE,30,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Cell phone in use on speaker phone while driving motor vehicle, Citation for infraction
110,2/10/2021 9:14,2/10/2021 8:58,12,FALSE,Grant ,Altamead,1, Middle Eastern or South Asian, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Stop lights inoperable failure to stop, Citation for infraction
111,2/10/2021 9:16,2/10/2021 9:10,10,FALSE,Grant fdx,Covington,1, White, None,FALSE,70,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Signal out went through, Citation for infraction
112,2/10/2021 9:30,2/10/2021 9:18,8,FALSE,Grant,Covington ,1, Middle Eastern or South Asian, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation," Signal lights inoperable, failure to stop", Citation for infraction
113,2/10/2021 9:40,2/10/2021 9:37,10,FALSE,Grant Rd,Covington,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Did not stop for signal out, Citation for infraction
114,2/10/2021 9:41,2/10/2021 9:35,3,FALSE,Grant,Covington,1, Black/African American, None,FALSE,55,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation," Signal light inoperable, failure to stop.", Warning (verbal or written)
115,2/10/2021 9:58,2/10/2021 9:54,10,FALSE,Grant Rd,Covington,1, Asian, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Did not stop for signal out, Citation for infraction
116,2/10/2021 12:52,2/10/2021 12:47,30,FALSE,Latham Street,,1, White, None,FALSE,45,Male,No,FALSE, None, Asked for consent to search person; Curbside detention; Person removed from vehicle by order; Search of person was conducted, true,, Consent given; Officer Safety/safety of others, subject was wearing large jacket and i was by myself for long period of time; subject was wearing large jacket and i was by myself for long period of time, Traffic Violation," Non-moving Violation, including Registration Violation", no visible license plate, Custodial Arrest pursuant to outstanding warrant
117,2/10/2021 16:49,2/10/2021 16:47,20,FALSE,El Camino Real,Rengstorff Ave,1, Hispanic/Latino/a, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation"," expired registration, broken brake lights, obstructed window", In-field cite and release
118,2/10/2021 18:56,2/10/2021 18:31,10,FALSE,Miramonte,A,1, White, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Unsafe speed on Foothill, Warning (verbal or written)
119,2/10/2021 19:09,2/10/2021 18:58,3,FALSE,El Monte,S Clarke,1, White, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 40 in 25, Warning (verbal or written)
120,2/11/2021 3:36,2/10/2021 18:34,5,FALSE,Portland,McKenzie,1, White, None,FALSE,60,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, stopped for violation...newspaper delivery...released with warning, Warning (verbal or written)
121,2/11/2021 4:03,2/11/2021 4:01,5,FALSE,Fremont,Grant,1, Hispanic/Latino/a, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 50 mph in 30 mph...works at ECH...warned and released, Warning (verbal or written)
122,2/11/2021 4:49,2/11/2021 4:48,5,FALSE,Foothill Expressway,Arboretum,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 62 mph in 45mph zone...warned and released, Warning (verbal or written)
