stopID,entryUpdateTime,stopTime,stopDuration,stopInResponseToCFS,street,intersection,PID,perceivedRace,perceivedDisability,perceivedLimitedEnglish,perceivedAge,perceivedGender,perceivedLgbt,genderNonconforming,contrabandOrEvidenceDiscovered,actionTakens,personSearchGiven,propertySearchGiven,basisForSearch,basisForSearchExplanation,reasonForStop,reasonForStopDetail,reasonForStopExplanation,resultOfStop
3106,1/2/2022 19:13,1/2/2022 19:11,3,FALSE,El Monte,Almond,1, Middle Eastern or South Asian, None,FALSE,18,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Unsafe speed, Warning (verbal or written)
3107,1/2/2022 19:27,1/2/2022 19:13,3,FALSE,Cuesta ,Shelby,1, White, None,FALSE,65,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Drive without lights at darkness, Warning (verbal or written)
3108,1/2/2022 20:25,1/2/2022 19:28,5,FALSE,Panchita,Jardin,1, Middle Eastern or South Asian, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", expired registration, Warning (verbal or written)
3109,1/2/2022 20:50,1/2/2022 20:26,3,FALSE,San Antonio,Almond,1, White, None,FALSE,17,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Drive without lights at night, Warning (verbal or written)
3110,1/2/2022 21:14,1/2/2022 20:50,10,FALSE,Almond,,1, Hispanic/Latino/a, None,TRUE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Improper turn, Warning (verbal or written)
3111,1/3/2022 13:29,1/3/2022 13:28,5,FALSE,russell,,1, White, None,FALSE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, dgdg paper plates, Warning (verbal or written)
3112,1/3/2022 14:30,1/3/2022 13:29,5,FALSE,dolores,miramonte,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", exp reg 6/21, Warning (verbal or written)
3113,1/3/2022 20:40,1/3/2022 18:06,6,FALSE,Randolph,Fremont,1, Hispanic/Latino/a, None,FALSE,65,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Expired registration, Warning (verbal or written)
3114,1/3/2022 20:57,1/3/2022 20:56,5,FALSE,Almond ,Verano,1, Asian; White, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Expired reg, Warning (verbal or written)
3115,1/3/2022 21:21,1/3/2022 21:20,5,FALSE,El Monte ,280,1, White, None,FALSE,60,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Tail lamp out, Warning (verbal or written)
3116,1/3/2022 22:40,1/3/2022 22:38,2,FALSE,California Ave,Showers Drive,1, Asian, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Expired Reg, Warning (verbal or written)
3117,1/4/2022 7:08,1/4/2022 7:07,5,FALSE,cuesta,walnut,1, Asian, None,FALSE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 45 on springer, Warning (verbal or written)
3118,1/4/2022 17:04,1/4/2022 7:09,15,TRUE,distel,distel circle,1, White, None,FALSE,35,Female,Yes,FALSE, None, Person removed from vehicle by order,,,, , Reasonable Suspicion, Matched suspect description, screaming from vehicle cant get out, No Action
3118,1/4/2022 17:04,1/4/2022 7:09,15,TRUE,distel,distel circle,2, White, None,FALSE,23,Female,Yes,FALSE, None, None,,,, , Reasonable Suspicion, Matched suspect description, x screaming from car  cant get out, No Action
3119,1/6/2022 5:04,1/6/2022 4:55,2,FALSE,Foothill ,Arastradero ,1, White, None,FALSE,60,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 60mph in a 45, Warning (verbal or written)
3120,1/6/2022 5:08,1/5/2022 7:00,6,FALSE,Foothill ,Main,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Tail light out, Warning (verbal or written)
3121,1/6/2022 5:33,1/6/2022 5:20,8,FALSE,Foothill ,Arastradero ,1, Hispanic/Latino/a, None,FALSE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 68mph in 45, Citation for infraction
3122,1/7/2022 20:38,1/7/2022 20:36,4,FALSE,Covington ,Riverside,1, White, None,FALSE,65,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Turned right without stopping, Warning (verbal or written)
3123,1/7/2022 20:49,1/7/2022 20:47,3,FALSE,Foothill expresseway,Grant road ,1, Asian, None,FALSE,60,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, No left turn sign, Warning (verbal or written)
3124,1/7/2022 20:53,1/7/2022 20:51,5,FALSE,el camino real,san antonio road,1, Asian, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", expired reg, Warning (verbal or written)
3125,1/7/2022 21:41,1/7/2022 20:30,5,FALSE,2nd Street,Main Street ,1, White, None,FALSE,75,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, No headlights after dark, No Action
3126,1/11/2022 14:06,1/11/2022 13:42,15,FALSE,Almond,,1, Hispanic/Latino/a; White, None,TRUE,35,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", False display, Citation for infraction
3127,1/11/2022 21:00,1/11/2022 20:58,5,FALSE,El Camino,Clark,1, Asian, None,TRUE,60,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Drive without headlights at night time, Warning (verbal or written)
3128,1/12/2022 8:53,1/12/2022 8:47,3,FALSE,magdalena,,1, Hispanic/Latino/a, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, expired reg, Warning (verbal or written)
3129,1/12/2022 10:21,1/12/2022 6:55,5,FALSE,san antonio road,,1, Middle Eastern or South Asian, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, no rear license plate, Warning (verbal or written)
