LEARecordID,ORI,BatchID,TX_Type,Is_NFIA,SDate,STime,SDur,Is_ServCall,AT,Loc,City,PID,Ethn,Gend,GendNC,LGBT,Age,Is_LimEng,Disb,Is_Stud,StReas,Tr_ID,Act_CD,BasSearch,BasSearch_N,BasSeiz,PropType,Cb,ResCD
38345,CA0431100,,I,N,1/1/2022,9:05,20,N,"Patrol, traffic, field operations","Bryant St, Villa St",Mountain View,1,Hispanic/Latino(a),Male,,N,25,Y,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
38686,CA0431100,,I,N,1/5/2022,21:38,1,N,"Patrol, traffic, field operations",1000 Block North Rengstorff Avenue,Mountain View,1,Middle Eastern or South Asian,Female,,N,55,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,Warning (verbal or written)
38734,CA0431100,,I,N,1/1/2022,23:44,5,N,"Patrol, traffic, field operations",San Antonio Road & California Street,Mountain View,1,White,Male,,N,50,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,Warning (verbal or written)
38734,CA0431100,,I,N,1/1/2022,23:44,5,N,"Patrol, traffic, field operations",San Antonio Road & California Street,Mountain View,2,White,Male,,N,15,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,
38774,CA0431100,,I,N,1/2/2022,0:41,5,N,"Patrol, traffic, field operations",500 Block Showers Drive,Mountain View,1,Hispanic/Latino(a),Male,,N,20,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,Warning (verbal or written)
38774,CA0431100,,I,N,1/2/2022,0:41,5,N,"Patrol, traffic, field operations",500 Block Showers Drive,Mountain View,2,Hispanic/Latino(a),Male,,N,40,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,
38961,CA0431100,,I,N,1/1/2022,9:58,20,Y,"Patrol, traffic, field operations",620 Alamo Court,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Consensual Encounter resulting in a search,, Search of person was conducted ,Officer Safety/safety of others,Searched incident to 5150 for transportation purposes. ,,,,"Noncriminal transport or caretaking transport  (including transport by officer, ambulance, or another agency)"
38976,CA0431100,,I,N,1/2/2022,4:44,10,N,"Patrol, traffic, field operations",2400 Block Charleston Road,Mountain View,1,Hispanic/Latino(a),Male,,N,40,N,,,Reasonable suspicion that the person was engaged in criminal activity,,Curbside detention,,,,,,Field interview card completed
39707,CA0431100,,I,N,1/2/2022,13:15,10,Y,"Patrol, traffic, field operations",800 Block Mercy Street,Mountain View,1,"Pacific Islander,Black/African American",Male,,N,30,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,
39707,CA0431100,,I,N,1/2/2022,13:15,10,Y,"Patrol, traffic, field operations",800 Block Mercy Street,Mountain View,2,"Black/African American,Pacific Islander",Female,,N,30,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,
