LEARecordID,ORI,BatchID,TX_Type,Is_NFIA,SDate,STime,SDur,Is_ServCall,AT,Loc,City,PID,Ethn,Gend,GendNC,LGBT,Age,Is_LimEng,Disb,Is_Stud,StReas,Tr_ID,Act_CD,BasSearch_N,StReas_Given,PropType,Cb,ResCD
400122,CA0431100,,I,N,1/1/2023,17:29,5,N,"Patrol, traffic, field operations",West Evelyn Avenue & View Street,Mountain View,1,Black/African American,Male,,N,60,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
400131,CA0431100,,I,N,1/1/2023,17:55,10,N,"Patrol, traffic, field operations",West Evelyn Avenue & Calderon Avenue,Mountain View,1,Asian,Male,,N,30,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,"Citation for infraction,Warning (verbal or written)"
400134,CA0431100,,I,N,1/1/2023,17:55,15,N,"Patrol, traffic, field operations",California Street & Rengstorff Avenue,Mountain View,1,Asian,Male,,N,30,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
400221,CA0431100,,I,N,1/1/2023,21:05,10,N,"Patrol, traffic, field operations",Latham Street & Ortega Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
400271,CA0431100,,I,N,1/1/2023,23:58,5,N,"Patrol, traffic, field operations",California Street & Franklin Street,Mountain View,1,Asian,Female,,N,50,N,,,Traffic Violation,Moving,No Action Taken,,,,,"Citation for infraction,Warning (verbal or written)"
400282,CA0431100,,I,N,1/2/2023,0:28,15,N,"Patrol, traffic, field operations",Ortega/California,MOUNTAIN VIEW,1,Hispanic/Latino(a),Male,,N,40,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
400345,CA0431100,,I,N,1/2/2023,1:36,10,Y,"Patrol, traffic, field operations",1900 Block California Street,Mountain View,1,Hispanic/Latino(a),Male,,N,25,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,Citation for infraction
400400,CA0431100,,I,N,1/2/2023,2:17,10,N,"Patrol, traffic, field operations",California Street & Franklin Street,Mountain View,1,Asian,Female,,N,50,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
400411,CA0431100,,I,N,1/2/2023,2:24,15,N,"Patrol, traffic, field operations",El Monte/El Camino Real,MOUNTAIN VIEW,1,Hispanic/Latino(a),Male,,N,40,N,,,Traffic Violation,Equipment,No Action Taken,,,,,"Citation for infraction,Warning (verbal or written)"
400422,CA0431100,,I,N,1/2/2023,2:15,10,N,"Patrol, traffic, field operations",West Evelyn Avenue & Calderon Avenue,Mountain View,1,Middle Eastern or South Asian,Female,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
400425,CA0431100,,I,N,1/2/2023,0:46,15,N,"Patrol, traffic, field operations",4800 Block El Camino Real,Los Altos,1,White,Male,,N,45,N,,,Reasonable suspicion that the person was engaged in criminal activity,," Asked for consent to  search person, Search of person was conducted , Asked for consent to  search property,Search of property was conducted",Consent search after detention. ,,,,Warning (verbal or written)
400431,CA0431100,,I,N,1/2/2023,2:46,5,N,"Patrol, traffic, field operations",Villa Street & View Street,Mountain View,1,Hispanic/Latino(a),Male,,N,25,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
400442,CA0431100,,I,N,1/2/2023,3:00,10,N,"Patrol, traffic, field operations",East Evelyn Avenue & South Bernardo Avenue,Sunnyvale,1,White,Female,,N,20,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
400467,CA0431100,,I,N,1/2/2023,3:45,5,N,"Patrol, traffic, field operations",Villa Street & View Street,Mountain View,1,Asian,Male,,N,28,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
400645,CA0431100,,I,N,1/2/2023,7:34,10,N,"Patrol, traffic, field operations",Villa Street & View Street,Mountain View,1,Hispanic/Latino(a),Male,,N,40,N,,,Traffic Violation,Moving,No Action Taken,,,,,Citation for infraction
400729,CA0431100,,I,N,1/1/2023,11:57,180,Y,"Patrol, traffic, field operations",Continental Circle,Mountain View,1,White,Male,,N,25,N,,,Reasonable suspicion that the person was engaged in criminal activity,,"Field sobriety test conducted,Handcuffed or flex cuffed, Asked for consent to  search person, Search of person was conducted , Asked for consent to  search property,Search of property was conducted,Person removed from vehicle by order",Searched vehicle with consent and then a more thorough search upon arrest.,,,,Custodial arrest without warrant
400756,CA0431100,,I,N,1/2/2023,9:45,10,N,"Patrol, traffic, field operations",West Dana Street & Castro Street,Mountain View,1,Hispanic/Latino(a),Male,,N,20,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
401105,CA0431100,,I,N,1/2/2023,19:40,5,N,"Patrol, traffic, field operations",North Shoreline Boulevard,MOUNTAIN VIEW,1,White,Male,,N,40,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
401312,CA0431100,,I,N,1/2/2023,23:48,5,N,"Patrol, traffic, field operations",1200 Block West El Camino Real,Mountain View,1,White,Male,,N,30,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
401335,CA0431100,,I,N,1/3/2023,0:06,10,N,"Patrol, traffic, field operations",Cypress Point Drive,Mountain View,1,Hispanic/Latino(a),Male,,N,42,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
401545,CA0431100,,I,N,1/3/2023,6:12,5,N,"Patrol, traffic, field operations",Old Middlefield Way,Mountain View,1,Asian,Female,,N,30,Y,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
401548,CA0431100,,I,N,1/3/2023,6:05,5,N,"Patrol, traffic, field operations",Rengstorff Avenue & Latham Street,Mountain View,1,Hispanic/Latino(a),Male,,N,20,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
401580,CA0431100,,I,N,1/3/2023,6:37,10,N,"Patrol, traffic, field operations",Rengstorff Avenue & El Camino Real,Mountain View,1,Hispanic/Latino(a),Male,,N,20,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
401594,CA0431100,,I,N,1/3/2023,6:57,5,N,"Patrol, traffic, field operations",Castro Street,Mountain View,1,Middle Eastern or South Asian,Male,,N,60,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
401682,CA0431100,,I,N,1/3/2023,8:42,10,N,"Patrol, traffic, field operations",Latham Street & Escuela Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
401777,CA0431100,,I,N,1/3/2023,12:40,15,N,"Patrol, traffic, field operations",100 Block East El Camino Real,Mountain View,1,White,Male,,N,50,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,Citation for infraction
402190,CA0431100,,I,N,1/3/2023,22:09,5,N,"Patrol, traffic, field operations",100 Block South Whisman Road,Mountain View,1,Asian,Female,,N,40,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
402222,CA0431100,,I,N,1/3/2023,22:38,10,N,"Patrol, traffic, field operations","California St, Showers Dr",Mountain View,1,White,Male,,N,48,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
402381,CA0431100,,I,N,1/4/2023,2:32,10,N,"Patrol, traffic, field operations",North Whisman Road,Mountain View,1,Black/African American,Male,,N,57,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
402386,CA0431100,,I,N,1/3/2023,23:45,10,N,"Patrol, traffic, field operations",Castro Street & Church Street,Mountain View,1,Hispanic/Latino(a),Male,,N,45,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,Citation for infraction
402387,CA0431100,,I,N,1/3/2023,23:10,10,N,"Patrol, traffic, field operations",Rengstorff Avenue & Montecito Avenue,Mountain View,1,Pacific Islander,Female,,N,35,N,,,Traffic Violation,Moving,No Action Taken,,,,,Citation for infraction
402391,CA0431100,,I,N,1/3/2023,22:11,10,N,"Patrol, traffic, field operations",North Shoreline Boulevard & Charleston Road,Mountain View,1,Middle Eastern or South Asian,Male,,N,30,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,Citation for infraction
402393,CA0431100,,I,N,12/21/2022,1:00,10,N,"Patrol, traffic, field operations",North Rengstorff Avenue & Montecito Avenue,Mountain View,1,White,Male,,N,55,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,Citation for infraction
402395,CA0431100,,I,N,12/21/2022,0:20,10,N,"Patrol, traffic, field operations",North Rengstorff Avenue & Montecito Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,40,N,,,Traffic Violation,Moving,No Action Taken,,,,,"Citation for infraction,Warning (verbal or written)"
402398,CA0431100,,I,N,12/20/2022,23:55,10,N,"Patrol, traffic, field operations",Central Expressway & North Bernardo Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,21,N,,,Traffic Violation,Moving,No Action Taken,,,,,"Citation for infraction,Warning (verbal or written)"
402495,CA0431100,,I,N,1/4/2023,5:30,5,N,"Patrol, traffic, field operations",Clark Avenue & Ednamary Way,Mountain View,1,White,Female,,N,25,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
402532,CA0431100,,I,N,1/4/2023,6:00,20,N,"Patrol, traffic, field operations",400 Block Del Medio Avenue,Mountain View,1,Black/African American,Female,,N,20,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,Warning (verbal or written)
402554,CA0431100,,I,N,1/4/2023,6:40,10,N,"Patrol, traffic, field operations",Rengstorff Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,Citation for infraction
402603,CA0431100,,I,N,1/4/2023,8:02,5,N,"Patrol, traffic, field operations",300 Block East Evelyn Avenue,MOUNTAIN VIEW,1,Asian,Male,,N,50,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
402669,CA0431100,,I,N,1/4/2023,10:00,5,N,"Patrol, traffic, field operations",California Street & Del Medio Avenue,Mountain View,1,White,Male,,N,50,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
403453,CA0431100,,I,N,1/5/2023,6:20,10,N,"Patrol, traffic, field operations","W Evelyn Ave, Madera Way",Mountain View,1,Hispanic/Latino(a),Female,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,Citation for infraction
403465,CA0431100,,I,N,1/5/2023,7:09,8,N,"Patrol, traffic, field operations",Shoreline Blvd/Central Expressway,MOUNTAIN VIEW,1,White,Male,,N,40,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
403480,CA0431100,,I,N,1/5/2023,5:45,5,N,"Patrol, traffic, field operations",West El Camino Real & Del Medio Avenue,Mountain View,1,White,Male,,N,50,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
403608,CA0431100,,I,N,1/5/2023,11:56,15,N,"Patrol, traffic, field operations",North Shoreline Boulevard & West Middlefield Road,Mountain View,1,Hispanic/Latino(a),Male,,N,50,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Citation for infraction
404053,CA0431100,,I,N,1/5/2023,22:37,5,N,"Patrol, traffic, field operations",700 Block North Shoreline Boulevard,Mountain View,1,White,Male,,N,70,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
404372,CA0431100,,I,N,1/6/2023,4:38,5,N,"Patrol, traffic, field operations",2500 Block Leghorn Street,Mountain View,1,White,Female,,N,55,N,,,Traffic Violation,Equipment,No Action Taken,,,,,Warning (verbal or written)
404428,CA0431100,,I,N,1/6/2023,5:24,5,N,"Patrol, traffic, field operations",San Antonio Road & El Camino Real,Mountain View,1,White,Male,,N,50,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
404475,CA0431100,,I,N,1/6/2023,6:00,20,N,"Patrol, traffic, field operations",West El Camino Real & Rengstorff Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,30,Y,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,Warning (verbal or written)
404610,CA0431100,,I,N,1/6/2023,9:30,5,N,"Patrol, traffic, field operations",Central Expressway & Mayfield Avenue,Mountain View,1,Hispanic/Latino(a),Female,,N,20,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
405640,CA0431100,,I,N,1/7/2023,4:05,10,N,"Patrol, traffic, field operations",California Street & Franklin Street,Mountain View,1,Asian,Male,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,Citation for infraction
405655,CA0431100,,I,N,1/7/2023,3:56,15,N,"Patrol, traffic, field operations",800 Block West El Camino Real,Mountain View,1,Middle Eastern or South Asian,Female,,N,35,N,,,Traffic Violation,Moving,No Action Taken,,,,,Citation for infraction
405665,CA0431100,,I,N,1/7/2023,4:31,5,N,"Patrol, traffic, field operations",California Street & Franklin Street,Mountain View,1,Middle Eastern or South Asian,Male,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
405708,CA0431100,,I,N,1/7/2023,4:45,5,N,"Patrol, traffic, field operations",Evelyn / hope,MOUNTAIN VIEW,1,Middle Eastern or South Asian,Male,,N,32,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
405712,CA0431100,,I,N,1/7/2023,5:20,5,N,"Patrol, traffic, field operations",Evelyn / Calderon ,MOUNTAIN VIEW,1,Asian,Male,,N,27,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
405726,CA0431100,,I,N,1/7/2023,5:40,10,N,"Patrol, traffic, field operations",Castro at California ,Mountain View,1,Hispanic/Latino(a),Male,,N,35,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
405767,CA0431100,,I,N,1/7/2023,6:12,5,N,"Patrol, traffic, field operations","Oak St, Villa St",Mountain View,1,Hispanic/Latino(a),Male,,N,25,N,,,Traffic Violation,Moving,No Action Taken,,,,,
405772,CA0431100,,I,N,1/7/2023,6:20,5,N,"Patrol, traffic, field operations",Dana / castro,MOUNTAIN VIEW,1,Black/African American,Male,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,Warning (verbal or written)
405822,CA0431100,,I,N,1/7/2023,6:57,5,N,"Patrol, traffic, field operations",700 Block North Shoreline Boulevard,Mountain View,1,White,Male,,N,22,N,,,Traffic Violation,Moving,No Action Taken,,,,,
405848,CA0431100,,I,N,1/7/2023,7:20,5,N,"Patrol, traffic, field operations",2000 Block California Street,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,
