,stop_id,entry/update time,date_time,duration,call_for_service,location,intersection,PID,race,perceivedDisability,limited_english,age,gender,lgbt,genderNonconforming,evidence_found,actions_taken,personSearchGiven,propertySearchGiven,basis_for_search,basisForSearchExplanation,reason_for_stop,reasonForStopDetail,reasonForStopExplanation,result,entryUpdateTime,Type,speed
0,63,2/2/2021 10:39,2021-02-02 10:27:00,10,FALSE,Jordan ave,,1,Hispanic/Latino(a),,FALSE,40,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,50mph in a 35... wet/rainy conditions,Citation for infraction,2021-02-02 10:27:00,1,
1,64,2/2/2021 10:59,2021-02-02 10:45:00,8,FALSE,Los Altos avenue,,1,Asian,,FALSE,50,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41mph in 25 zone.  Wet roadway,Citation for infraction,2021-02-02 10:45:00,1,
2,66,2/2/2021 11:46,2021-02-02 11:34:00,10,FALSE,E. Portola Ave,,1,White,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,55mph in 35... wet/rainy,Citation for infraction,2021-02-02 11:34:00,1,
3,67,2/2/2021 12:03,2021-02-02 11:49:00,10,FALSE,Los Altos Avenue,,1,Middle Eastern or South Asian,,FALSE,25,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,48mph in 25mph zone,Citation for infraction,2021-02-02 11:49:00,1,
4,69,2/2/2021 13:26,2021-02-02 13:12:00,8,FALSE,Los Altos Avenue,,1,White,,FALSE,55,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,43mph in 25mph zone,Citation for infraction,2021-02-02 13:12:00,1,
5,70,2/2/2021 13:54,2021-02-02 13:40:00,8,FALSE,Los Altos Avenue,,1,White,,FALSE,20,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,42mph in 25mph zone,Citation for infraction,2021-02-02 13:40:00,1,
6,71,2/2/2021 14:43,2021-02-02 14:32:00,10,FALSE,Fremont Ave,Grand Rd,1,White,,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,48mph in a 30... wet roads,Citation for infraction,2021-02-02 14:32:00,1,
7,74,2/2/2021 15:29,2021-02-02 15:24:00,5,FALSE,El monte,S clark,1,White,,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Speed 45 in 25mph zone,Citation for infraction,2021-02-02 15:24:00,1,
8,82,2/5/2021 11:44,2021-02-05 11:10:00,13,FALSE,San Antonio Rd,,1,White,,FALSE,30,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Observed P1 NB San Antonio Rd. Confirmed with Lidar reading of 52mph @ 362’ in 35 mph zone. Identified by CA license. Cite issued.,Citation for infraction,2021-02-05 11:10:00,1,
9,83,2/5/2021 11:48,2021-02-05 11:45:00,5,FALSE,Almond Ave,N Clark,1,Asian,,FALSE,25,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40 in 25mph zone,No Action,2021-02-05 11:45:00,1,
10,90,2/6/2021 19:08,2021-02-06 19:06:00,5,FALSE,Foothill Exp,St. Joseph,1,Hispanic/Latino(a),,FALSE,35,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,60 mph in 45 mph zone...driver warned and released,Warning (verbal or written),2021-02-06 19:06:00,1,
11,95,2/7/2021 21:43,2021-02-07 20:21:00,5,FALSE,Foothill Expressway,El Monte,1,White,,FALSE,40,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,70 mph in a 45 mph...driver warned,Warning (verbal or written),2021-02-07 20:21:00,1,
12,98,2/8/2021 11:54,2021-02-08 11:42:00,8,FALSE,Los Altos Avenue,,1,Asian,,FALSE,70,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40mph in 25mph zone,Citation for infraction,2021-02-08 11:42:00,1,
13,99,2/8/2021 12:28,2021-02-08 12:18:00,10,FALSE,1st street,,1,White,,FALSE,65,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41mph in 25 zone,Citation for infraction,2021-02-08 12:18:00,1,
14,101,2/8/2021 14:05,2021-02-08 14:03:00,5,FALSE,Truman,,1,White,,FALSE,55,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,37mph in 25mph zone,Warning (verbal or written),2021-02-08 14:03:00,1,
15,107,2/9/2021 15:09,2021-02-09 14:50:00,8,FALSE,Foothill Expwy,Edith Ave,1,White,,FALSE,35,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,66mph in a 45,Citation for infraction,2021-02-09 14:50:00,1,
16,121,2/11/2021 4:03,2021-02-11 4:01:00,5,FALSE,Fremont,Grant,1,Hispanic/Latino(a),,FALSE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,50 mph in 30 mph...works at ECH...warned and released,Warning (verbal or written),2021-02-11 4:01:00,1,
17,122,2/11/2021 4:49,2021-02-11 4:48:00,5,FALSE,Foothill Expressway,Arboretum,1,White,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,62 mph in 45mph zone...warned and released,Warning (verbal or written),2021-02-11 4:48:00,1,
