,stop_id,entry/update time,date_time,duration,call_for_service,location,intersection,PID,race,perceivedDisability,limited_english,age,gender,lgbt,genderNonconforming,evidence_found,actions_taken,personSearchGiven,propertySearchGiven,basis_for_search,basisForSearchExplanation,reason_for_stop,reasonForStopDetail,reasonForStopExplanation,result,entryUpdateTime,Type,speed
0,55,2/1/2021 10:40,2021-02-01 10:39:00,10,FALSE,Foothill Expressway,El Monte Ave,1,White,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,62 in 45,Citation for infraction,2021-02-01 10:39:00,1,
1,119,2/10/2021 19:09,2021-02-10 18:58:00,3,FALSE,El Monte,S Clarke,1,White,,FALSE,35,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40 in 25,Warning (verbal or written),2021-02-10 18:58:00,1,
2,144,2/12/2021 12:36,2021-02-12 12:33:00,10,FALSE,El Camino Real,Miramonte Ave,1,White,,FALSE,35,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,60 in 35,Citation for infraction,2021-02-12 12:33:00,1,
3,1006,2/14/2021 11:22,2021-02-14 11:15:00,1,FALSE,San Antonio,Sevilla,1,Asian,,FALSE,70,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,50 in a 35,No Action,2021-02-14 11:15:00,1,
4,1038,2/16/2021 20:28,2021-02-16 20:26:00,4,FALSE,Springer rd,Covington,1,White,,FALSE,22,Male,Yes,FALSE,,,,,,,Traffic Violation,Moving Violation,40 in a 25,Warning (verbal or written),2021-02-16 20:26:00,1,
5,1069,2/20/2021 18:45,2021-02-20 18:43:00,5,FALSE,el monte ave,280,1,White,,FALSE,55,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,55 in a 35,Warning (verbal or written),2021-02-20 18:43:00,1,
6,1073,2/20/2021 20:25,2021-02-20 19:18:00,2,FALSE,El Camino real,Showers,1,Middle Eastern or South Asian,,FALSE,42,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,45 in a 35,Warning (verbal or written),2021-02-20 19:18:00,1,
7,1074,2/20/2021 20:52,2021-02-20 20:50:00,4,FALSE,el monte ave,bay tree lane,1,Middle Eastern or South Asian,,FALSE,40,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,45 in a 30,Warning (verbal or written),2021-02-20 20:50:00,1,
8,1076,2/20/2021 22:09,2021-02-20 22:04:00,10,FALSE,EL CAMINO REAL,ESCUELA,1,White,,FALSE,45,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,STOPPED FOR VIOLATION...VEHICLE ALSO CONNECTED IN 20002 CVC IN 2020...SUBJECT ALSO HAD A ELDER ABUSE RESTRAINING ORDER THAT NEEDED SERVICE...SUBJECT WAS ADVISED OF ORDER AND RELEASED,Warning (verbal or written),2021-02-20 22:04:00,3,
9,1080,2/21/2021 19:35,2021-02-21 19:25:00,2,FALSE,Fremont,Belleville,1,White,,FALSE,42,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,43 in a 30,Warning (verbal or written),2021-02-21 19:25:00,1,
10,1083,2/21/2021 19:48,2021-02-21 19:47:00,5,FALSE,W PORTOLA,SAN ANTONIO RD,1,White,,FALSE,45,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,55 MPH IN A 35 MPH...WARNED AND RELEASED,Warning (verbal or written),2021-02-21 19:47:00,1,
11,1084,2/21/2021 20:00,2021-02-21 19:48:00,5,FALSE,SAN ANTONIO RD,LOUCKS,1,White,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,55 MPH IN A 35 MPH ZONE...WARNED AND RELEASED,Warning (verbal or written),2021-02-21 19:48:00,1,
12,1087,2/21/2021 20:19,2021-02-21 20:11:00,5,FALSE,ALMOND,EL MONTE,1,Hispanic/Latino(a),,FALSE,55,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40 MPH IN A 25 MPH...DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-02-21 20:11:00,1,
13,1090,2/21/2021 22:28,2021-02-21 20:19:00,5,FALSE,BEVERLY,ALMOND,1,White,,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,55 MPH IN A 35 MPH...DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-02-21 20:19:00,1,
14,1091,2/21/2021 22:55,2021-02-21 22:28:00,5,FALSE,E PORTOLA,SAN ANTONIO RD,1,Hispanic/Latino(a),,FALSE,25,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,52 MPH IN A 35 MPH...DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-02-21 22:28:00,1,
15,1092,2/21/2021 23:22,2021-02-21 22:55:00,15,FALSE,SAN ANTONIO RD,EL CAMINO REAL,1,Hispanic/Latino(a),,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,56 MPH IN A 35 MPH...DRIVER HAD NO DL IN POSSESSION...DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-02-21 22:55:00,1,
16,1102,2/23/2021 10:48,2021-02-23 10:02:00,26,FALSE,Casita,,1,White,,FALSE,30,Male,No,FALSE,Other Contraband or evidence,Person removed from vehicle by order; Physical or Vehicle contact,,,,,Traffic Violation,Moving Violation,Observed driver run stop sign at Casita and Alvarado. Stopped. Plate returned expired in 2019 with a 2020 tab. Driver admitted fraud to avoid DMV fees. Driver cited for 4462.5VC and 22450aVc,In-field cite and release,2021-02-23 10:02:00,3,
17,1120,2/24/2021 20:09,2021-02-24 20:07:00,4,FALSE,El Camino real,,1,Asian,,FALSE,25,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,50 in a 35,Warning (verbal or written),2021-02-24 20:07:00,1,
18,1124,2/25/2021 17:59,2021-02-25 11:06:00,4,FALSE,Fallen leaf lane,Alexander way,1,White,,FALSE,80,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Crossing 4 lane road and stopped in the middle,Warning (verbal or written),2021-02-25 11:06:00,3,
19,1126,2/25/2021 19:50,2021-02-25 19:48:00,4,FALSE,El Camino real,Distel,1,White,,FALSE,23,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,50 in a 35,Warning (verbal or written),2021-02-25 19:48:00,1,
20,1127,2/26/2021 1:46,2021-02-25 19:50:00,17,FALSE,El Camino real,,1,Black/African American,,FALSE,43,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,50 in a 35,Citation for infraction,2021-02-25 19:50:00,1,
21,1154,3/2/2021 19:59,2021-03-02 19:57:00,6,FALSE,foothill expy,springer ave,1,White,,FALSE,55,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,57 in a 45,Warning (verbal or written),2021-03-02 19:57:00,1,
22,1155,3/2/2021 20:10,2021-03-02 19:12:00,5,FALSE,SAN ANTONIO RD,CHESTER CIR,1,Middle Eastern or South Asian,,FALSE,35,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,56 MPH IN A 35 MPH ZONE...DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-03-02 19:12:00,1,
23,1156,3/2/2021 20:55,2021-03-02 20:54:00,5,FALSE,MAGDALENA AVE,HILLVIEW,1,Middle Eastern or South Asian,,FALSE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,54 MPH IN A 35 MPH ZONE..DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-03-02 20:54:00,1,
24,1159,3/3/2021 4:04,2021-03-03 4:02:00,5,FALSE,MAGDALENA AVE,SUMMERHILL,1,Asian,,FALSE,40,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,70 MPH IN A 45 MPH...DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-03-03 4:02:00,1,
25,1194,3/7/2021 2:49,2021-03-06 19:42:00,16,FALSE,Foothill,San Antonio,1,Middle Eastern or South Asian,,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,60 in a 45,Citation for infraction,2021-03-06 19:42:00,1,
26,1195,3/7/2021 22:21,2021-03-07 18:42:00,3,FALSE,El Camino real,Monroe,1,Asian,,FALSE,42,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,50 in a 35,Warning (verbal or written),2021-03-07 18:42:00,1,
27,1206,3/9/2021 10:26,2021-03-09 9:00:00,7,FALSE,Foothill Expressway,Main,1,White,,FALSE,60,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Right on red.  3 no right on red signs posted.,Warning (verbal or written),2021-03-09 9:00:00,3,
